id,пол,город,relation
5438,пол мужской,Санкт-Петербург,1
5447,пол женский,город не указан,данные извлечь невозможно
5472,пол женский,Санкт-Петербург,данные извлечь невозможно
5597,пол женский,Санкт-Петербург,данные извлечь невозможно
5609,пол женский,Санкт-Петербург,данные извлечь невозможно
5665,пол мужской,Новороссийск,данные извлечь невозможно
5680,пол мужской,Санкт-Петербург,данные извлечь невозможно
5701,пол мужской,Кузнецк,данные извлечь невозможно
5711,пол мужской,Санкт-Петербург,данные извлечь невозможно
5715,пол женский,Санкт-Петербург,4
5717,пол мужской,Санкт-Петербург,данные извлечь невозможно
5749,пол мужской,Санкт-Петербург,данные извлечь невозможно
5766,пол женский,Cambridge,данные извлечь невозможно
5769,пол женский,Санкт-Петербург,данные извлечь невозможно
5770,пол мужской,Санкт-Петербург,данные извлечь невозможно
5772,пол мужской,Санкт-Петербург,данные извлечь невозможно
5794,пол женский,Москва,данные извлечь невозможно
5796,пол мужской,Москва,данные извлечь невозможно
5804,пол мужской,Санкт-Петербург,данные извлечь невозможно
5821,пол мужской,Санкт-Петербург,данные извлечь невозможно
5827,пол женский,Санкт-Петербург,2
5837,пол мужской,Helsinki,данные извлечь невозможно
5840,пол женский,Санкт-Петербург,данные извлечь невозможно
5845,пол мужской,Санкт-Петербург,данные извлечь невозможно
5855,пол женский,город не указан,данные извлечь невозможно
5889,пол женский,Санкт-Петербург,данные извлечь невозможно
5892,пол женский,Москва,данные извлечь невозможно
5895,пол мужской,Санкт-Петербург,данные извлечь невозможно
5896,пол женский,Санкт-Петербург,данные извлечь невозможно
5912,пол мужской,Санкт-Петербург,данные извлечь невозможно
5914,пол мужской,Алматы,данные извлечь невозможно
5923,пол женский,Санкт-Петербург,данные извлечь невозможно
5944,пол мужской,Санкт-Петербург,данные извлечь невозможно
5965,пол мужской,Санкт-Петербург,данные извлечь невозможно
6002,пол мужской,Санкт-Петербург,данные извлечь невозможно
6041,пол мужской,Санкт-Петербург,данные извлечь невозможно
6071,пол мужской,Groningen,данные извлечь невозможно
6087,пол мужской,Санкт-Петербург,данные извлечь невозможно
6099,пол мужской,Санкт-Петербург,данные извлечь невозможно
6107,пол мужской,Санкт-Петербург,данные извлечь невозможно
6116,пол женский,Москва,данные извлечь невозможно
6130,пол мужской,Москва,данные извлечь невозможно
6148,пол мужской,Санкт-Петербург,данные извлечь невозможно
6155,пол мужской,Москва,данные извлечь невозможно
6167,пол мужской,Тель-Авив,данные извлечь невозможно
