название,цена,код
Ноутбук Gigabyte Aero 15 15.6″/16/SSD 512/черный,129990,113042
Ноутбук HP Pavilion 15-eg0128ur 15.6″/16/SSD 512/бирюзовый,64990,111577
Ноутбук Lenovo Legion 5 Pro 16ARH7H 16″/16/SSD 1024/серый,169990,120727
Ноутбук Lenovo Legion 5 Pro 16IAH7H 16″/16/SSD 1024/серый,209990,120726
Ультрабук Asus ZenBook Pro Duo OLED UX582HS-H2002X 15.6″/32/SSD 1024/синий,325990,116635
Ультрабук Lenovo ThinkPad X1 Carbon Gen 9 14″/16/SSD 512/LTE/черный,170990,116453
Ноутбук Dell G15 5515 15.6″/16/SSD 512/серый,149990,108543
Ноутбук MSI Pulse GL66 11UEK-211XRU 15.6″/8/SSD 512/серый,95990,103889
Ноутбук Asus Laptop 15 X571LH-BQ449T 15.6″/16/SSD 1024/черный,69990,112234
Ноутбук Asus VivoBook 15 K513EA-BN2942 15.6″/8/SSD 256/серебристый,46990,112164
Ноутбук Asus Laptop 15 D509DA-EJ393T 15.6″/8/SSD 256/серый,38590,114945
Ноутбук Asus TUF Gaming A15 FA507RM-HN110 15.6″/16/SSD 512/серый,138990,115151
Ноутбук Asus Laptop 15 E510MA-BQ885W 15.6″/8/SSD 256/черный,41390,116490
Ноутбук Asus VivoBook S15 OLED K3502ZA-MA009W 15.6″/16/SSD 512/черный,111990,116988
Ноутбук Asus VivoBook S15 OLED K3502ZA-MA025W 15.6″/8/SSD 512/черный,88590,116987
Ноутбук Asus ROG Zephyrus G14 GA402RJ-L4125W 14″/16/SSD 512/серый,159990,117108
Ноутбук Asus Laptop 15 X543MA-DM1385W 15.6″/4/SSD 128/серый,27590,117452
Ноутбук Asus ROG Strix G17 G713RM-KH092W 17.3&quot;/16/SSD 512/серый,169990,117451
Ноутбук Asus VivoBook 17 M1702QA-AU082 17.3″/16/SSD 512/синий,69990,119243
Ноутбук Asus VivoBook Pro 15 OLED K3500PA-L1091T 15.6″/16/SSD 512/синий,85990,119695
Ноутбук Asus VivoBook 16X M1603QA-MB252 16″/16/SSD 512/серебристый,60990,119746
Ультрабук Asus ZenBook 14X OLED UX5401ZAS-KN032W 14″/16/SSD 1024/серый,169990,120010
Ноутбук Lenovo Legion 5 15ACH6 15.6″/16/SSD 1024/белый,124990,112818
Ноутбук Lenovo Legion 5 15ACH6 15.6″/8/SSD 512/синий,79990,109734
Ноутбук Lenovo IdeaPad 5 Pro 14ITL6 14″/16/SSD 512/серый,99990,116512
Ноутбук Lenovo IdeaPad 5 Pro 14ITL6 14″/16/SSD 512/серый,82990,116505
Ультрабук Lenovo ThinkPad X1 Carbon Gen 10 14″/16/SSD 512/LTE/черный,249890,117442
Ноутбук Lenovo ThinkPad E15 Gen 4 15.6″/16/SSD 1024/серый,119990,117847
Ноутбук Lenovo Legion 7 16ACHG6 16″/16/SSD 1024/серый,195990,103785
Ноутбук Lenovo Legion 5 Pro 16IAH7H 16″/16/SSD 1024/серый,175990,120725
Ноутбук MSI Katana GF66 11UC-1223XRU 15.6″/8/SSD 512/черный,74490,110690
Ноутбук MSI GF63 Thin 11UD-222XRU 15.6″/8/SSD 512/черный,81990,108581
Ноутбук MSI GF63 Thin 11UD-220RU 15.6″/8/SSD 512/черный,79990,108580
Ноутбук MSI Creator Z16P B12UGST-027RU 16″/32/SSD 1024/серый,199590,109751
Ноутбук MSI Summit E16Flip A12UCT-212RU 16″/16/SSD 512/черный,124590,116623
Ноутбук MSI Modern 14 C12M-238RU 14″/8/SSD 512/серебристый,54990,116596
Ноутбук MSI Creator Z16 A12UET-064RU 16″/16/SSD 512/серый,133990,109830
Ноутбук HP Victus 16-e0074ur 16.1″/16/SSD 512/синий,95990,111797
Ноутбук HP Envy 17-ch1141nw 17.3″/16/SSD 512/серебристый,104990,118504
Ультрабук Huawei MateBook 14 14″/16/SSD 512/серый,74990,111605
Ультрабук Huawei MateBook D 15 BoB-WAI9Q 15.6″/8/SSD 256/серебристый,48990,110709
Ультрабук Huawei MateBook D 15 BoM-WFQ9 15.6″/8/SSD 512/серебристый,59990,114484
Ультрабук Huawei MateBook D 16 RLEF-X 16.1″/16/SSD 512/серый,69990,117464
Ультрабук Huawei MateBook D 14 NbDE-WDH9 14″/8/SSD 512/серебристый,49990,119211
Ультрабук Huawei MateBook D 14 NbD-WDI9 14″/8/SSD 256/серебристый,39990,119210
Ноутбук Xiaomi RedmiBook 15 X44450 15.6″/8/SSD 512/серый,44990,117097
Ноутбук Gigabyte Aero 16 16″/32/SSD 1024/серый,159990,118431
Ноутбук Gigabyte Aero 17 XE5 17.3″/32/SSD 1024/серебристый,214990,119022
Ноутбук Machenike S15 15.6″/16/SSD 512/черный,101990,116888
Ноутбук Machenike S15 15.6″/16/SSD 512/черный,82990,116887
Ультрабук Machenike Machcreator-A 15.6″/16/SSD 512/серебристый,52590,116883
Ноутбук Tecno Megabook T1 i3 15.6″/12/SSD 256/серебристый,35990,119166
Ноутбук Asus VivoBook 14 X415FA-EB014 14″/4/SSD 256/серый,34990,113978
Ноутбук Asus Vivobook Go 14 E410MA-BV1521W 14″/4/eMMC 128/черный,28990,113972
Ноутбук Asus Laptop 14 X415EA-EB936W 14″/4/SSD 256/серый,39990,111953
Ноутбук Asus VivoBook 15 OLED K513EA-L11649W 15.6″/8/SSD 256/серебристый,52590,111158
Ноутбук Asus Laptop 15 X515EA-BQ1189 15.6″/8/SSD 256/серый,43990,110918
Ноутбук Asus ROG Zephyrus G14 GA401QM-K2200T 14″/16/SSD 1024/серый,189990,110455
Ноутбук Asus VivoBook Pro 14 K3400PA-KP112W 14″/8/SSD 512/серебристый,70990,110075
Ноутбук Asus VivoBook 17 X712JA-AU358T 17.3″/8/SSD 256/серебристый,50990,105490
